epsilon,hvp_budget,method,heldout_r2,heldout_r2,heldout_r2,pair_topk_recall,pair_topk_recall,pair_topk_recall,pair_rmse,pair_rmse,pair_rmse,pair_l1,pair_l1,pair_l1,selected_k,selected_k,selected_k,hvp_val_r2,hvp_val_r2,hvp_val_r2,false_pair_count_in_selected,false_pair_count_in_selected,false_pair_count_in_selected
,,,mean,std,count,mean,std,count,mean,std,count,mean,std,count,mean,std,count,mean,std,count,mean,std,count
5.0,1,hvp_pairs_atp_main,0.985526200699464,,1,1.0,,1,0.005517157717667484,,1,0.35495217785434546,,1,4.0,,1,,,0,2.0,,1
5.0,1,hvp_pairs_finite_main,0.8864847586218246,,1,1.0,,1,0.005517157717667484,,1,0.35495217785434546,,1,4.0,,1,,,0,2.0,,1
5.0,1,hvp_pairs_only,0.37477914506932053,,1,1.0,,1,0.005517157717667484,,1,0.35495217785434546,,1,4.0,,1,,,0,2.0,,1
5.0,2,hvp_pairs_atp_main,0.9851125863472269,,1,1.0,,1,0.004549469124376084,,1,0.35298330571762926,,1,4.0,,1,,,0,2.0,,1
5.0,2,hvp_pairs_finite_main,0.8972088842977141,,1,1.0,,1,0.004549469124376084,,1,0.35298330571762926,,1,4.0,,1,,,0,2.0,,1
5.0,2,hvp_pairs_only,0.27336075735346754,,1,1.0,,1,0.004549469124376084,,1,0.35298330571762926,,1,4.0,,1,,,0,2.0,,1
5.0,4,hvp_pairs_atp_main,0.9875174164202534,,1,1.0,,1,0.0003464944565640834,,1,0.01881636836775069,,1,2.0,,1,0.9972949277013915,,1,0.0,,1
5.0,4,hvp_pairs_finite_main,0.8984201773297911,,1,1.0,,1,0.0003464944565640834,,1,0.01881636836775069,,1,2.0,,1,0.9972949277013915,,1,0.0,,1
5.0,4,hvp_pairs_only,0.2648060365340632,,1,1.0,,1,0.0003464944565640834,,1,0.01881636836775069,,1,2.0,,1,0.9972949277013915,,1,0.0,,1
5.0,8,hvp_pairs_atp_main,0.9873607663291317,,1,1.0,,1,0.00011931027158589882,,1,0.006261766664137802,,1,2.0,,1,0.9973086230400628,,1,0.0,,1
5.0,8,hvp_pairs_finite_main,0.9009419681974468,,1,1.0,,1,0.00011931027158589882,,1,0.006261766664137802,,1,2.0,,1,0.9973086230400628,,1,0.0,,1
5.0,8,hvp_pairs_only,0.3143182833576258,,1,1.0,,1,0.00011931027158589882,,1,0.006261766664137802,,1,2.0,,1,0.9973086230400628,,1,0.0,,1
8.0,1,hvp_pairs_atp_main,0.9700821814915782,,1,1.0,,1,0.006280954468727649,,1,0.5129084152346013,,1,4.0,,1,,,0,2.0,,1
8.0,1,hvp_pairs_finite_main,0.8922798526609141,,1,1.0,,1,0.006280954468727649,,1,0.5129084152346013,,1,4.0,,1,,,0,2.0,,1
8.0,1,hvp_pairs_only,0.4796181915520915,,1,1.0,,1,0.006280954468727649,,1,0.5129084152346013,,1,4.0,,1,,,0,2.0,,1
8.0,2,hvp_pairs_atp_main,0.9766471351826278,,1,1.0,,1,0.004524641496338287,,1,0.37513325631206146,,1,4.0,,1,,,0,2.0,,1
8.0,2,hvp_pairs_finite_main,0.9253944800192028,,1,1.0,,1,0.004524641496338287,,1,0.37513325631206146,,1,4.0,,1,,,0,2.0,,1
8.0,2,hvp_pairs_only,0.62669642996378,,1,1.0,,1,0.004524641496338287,,1,0.37513325631206146,,1,4.0,,1,,,0,2.0,,1
8.0,4,hvp_pairs_atp_main,0.9716353692161703,,1,1.0,,1,0.00038581718093004265,,1,0.02441242597406479,,1,2.0,,1,0.9988133450653417,,1,0.0,,1
8.0,4,hvp_pairs_finite_main,0.8912908469823183,,1,1.0,,1,0.00038581718093004265,,1,0.02441242597406479,,1,2.0,,1,0.9988133450653417,,1,0.0,,1
8.0,4,hvp_pairs_only,0.5253978457527186,,1,1.0,,1,0.00038581718093004265,,1,0.02441242597406479,,1,2.0,,1,0.9988133450653417,,1,0.0,,1
8.0,8,hvp_pairs_atp_main,0.9703450885435804,,1,1.0,,1,0.00044993132847426416,,1,0.02796697525192826,,1,2.0,,1,0.9989537545701815,,1,0.0,,1
8.0,8,hvp_pairs_finite_main,0.9106163649699527,,1,1.0,,1,0.00044993132847426416,,1,0.02796697525192826,,1,2.0,,1,0.9989537545701815,,1,0.0,,1
8.0,8,hvp_pairs_only,0.5888056219596272,,1,1.0,,1,0.00044993132847426416,,1,0.02796697525192826,,1,2.0,,1,0.9989537545701815,,1,0.0,,1
